sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,calc_b,exp_b,abs(err),err %,avg abs error,avg % error
0.7,0.5,,1.169517934,1.20002,0.0305,2.5418,,,1.169519325,1.20002,0.0305,2.5417,,,,1.169518729,1.20002,3.05E-02,2.54E+00,,
0.7,0.6,,1.270169814,1.30002,0.0299,2.2961,,,1.270168622,1.30002,0.0299,2.2962,,,,1.270168324,1.30002,2.99E-02,2.30E+00,,
0.7,0.7,,1.366326114,1.40002,0.0337,2.4067,,,1.366325816,1.40002,0.0337,2.4067,,,,1.366325816,1.40002,3.37E-02,2.41E+00,,
0.7,0.8,,1.457850238,1.50002,0.0422,2.8113,,,1.457850039,1.50002,0.0422,2.8113,,,,1.457850039,1.50002,4.22E-02,2.81E+00,,
0.7,0.9,,1.552346945,1.60002,0.0477,2.9795,,,1.552346945,1.60002,0.0477,2.9795,,,,1.552346945,1.60002,4.77E-02,2.98E+00,,
0.7,1,,1.65241907,1.70002,0.0476,2.8,,,1.65241907,1.70002,0.0476,2.8,,,,1.65241907,1.70002,4.76E-02,2.80E+00,,
0.8,0,,0.8288833,0.80002,0.0289,3.6078,,,0.794829627,0.80002,0.0052,0.6488,,,,0.789805502,0.80002,1.02E-02,1.28E+00,,
0.8,0.1,,0.90562125,0.90002,0.0056,0.6223,,,0.905595422,0.90002,0.0056,0.6195,,,,0.905587176,0.90002,5.57E-03,6.19E-01,,
0.8,0.2,,0.992364784,1.00002,0.0077,0.7655,,,0.992331803,1.00002,0.0077,0.7688,,,,0.992318789,1.00002,7.70E-03,7.70E-01,,
0.8,0.3,,1.074479024,1.10002,0.0255,2.3219,,,1.07446144,1.10002,0.0256,2.3235,,,,1.074456672,1.10002,2.56E-02,2.32E+00,,
0.8,0.4,,1.17395848,1.20002,0.0261,2.1718,,,1.17396752,1.20002,0.0261,2.171,,,,1.173968812,1.20002,2.61E-02,2.17E+00,,
0.8,0.5,,1.265966793,1.30002,0.0341,2.6194,,,1.265970667,1.30002,0.034,2.6191,,,,1.265971462,1.30002,3.40E-02,2.62E+00,,
0.8,0.6,,1.362358928,1.40002,0.0377,2.69,,,1.362358034,1.40002,0.0377,2.6901,,,,1.362357835,1.40002,3.77E-02,2.69E+00,,
0.8,0.7,,1.453102132,1.50002,0.0469,3.1278,,,1.453101138,1.50002,0.0469,3.1279,,,,1.453101138,1.50002,4.69E-02,3.13E+00,,
